filename,voice,seconds,rms,text
gh_00_names.wav,gh_00,2.93,0.0396,"Kwabena went to Achimota and met the Okuapenhene at Nyankpani."
gh_00_news.wav,gh_00,3.74,0.0480,"The Bank of Ghana raised the policy rate, citing pressure on the cedi."
gh_00_english.wav,gh_00,3.02,0.0508,"The convention discussed inflationary policy yesterday afternoon."
gh_00_mixed.wav,gh_00,2.64,0.0504,"Yaw Mensah drove from Adenta through Madina to Kotoka."
gh_00_question.wav,gh_00,2.88,0.0514,"Have you told Ama that the meeting at Ridge is postponed?"
gh_01_names.wav,gh_01,3.15,0.0525,"Kwabena went to Achimota and met the Okuapenhene at Nyankpani."
gh_01_news.wav,gh_01,3.12,0.0629,"The Bank of Ghana raised the policy rate, citing pressure on the cedi."
gh_01_english.wav,gh_01,3.04,0.0649,"The convention discussed inflationary policy yesterday afternoon."
gh_01_mixed.wav,gh_01,2.72,0.0544,"Yaw Mensah drove from Adenta through Madina to Kotoka."
gh_01_question.wav,gh_01,2.86,0.0570,"Have you told Ama that the meeting at Ridge is postponed?"
gh_02_names.wav,gh_02,2.98,0.0514,"Kwabena went to Achimota and met the Okuapenhene at Nyankpani."
gh_02_news.wav,gh_02,3.47,0.0650,"The Bank of Ghana raised the policy rate, citing pressure on the cedi."
gh_02_english.wav,gh_02,3.23,0.0576,"The convention discussed inflationary policy yesterday afternoon."
gh_02_mixed.wav,gh_02,2.32,0.0591,"Yaw Mensah drove from Adenta through Madina to Kotoka."
gh_02_question.wav,gh_02,2.82,0.0615,"Have you told Ama that the meeting at Ridge is postponed?"
